Customer,URL,State,Country - Canada,Partners,Industry,ERP,CLEAN_Update,Update Ring,Products,Platform,Canada,DataType,Data Provider,Options (Add-ons),Data Enhancement Services,CLEAN_Data Portal Transactions,Notes
Abraham Baldwin Agricultural College,abac.edu,GA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
ACGI Software,acgisoftware.com,MD,,,Software,,Linux 64-bit,"Quarterly,Monthly","CLEAN_Address - USPS,CLEAN_Address - CAN",Linux,Canada - Unix,DPV,Data Provider: Melissa,"AddressDoctor International,GeoCoder,Canada GeoCoding",,,
Actra Fraternal Benefit Society,www.afbs.ca/,ON,Canada,,Insurance,,Linux 64-bit,Monthly,"CLEAN_Address - USPS,CLEAN_Address - CAN",Linux,Canada - Unix,NO DPV,Data Provider: Melissa,AddressDoctor International,,,
Adams State University,adams.edu,CO,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,"NCOA - Prepaid,Email - Prepaid,Phone - Prepaid",,
Affinity Federal Credit Union,affinityfcu.com,WA,,ASCEN,Credit Union,Credit Union,,Monthly,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Aims Community College,aims.edu,CO,,,Higher Education,"Banner, EDQ Connect Workday",,,"CLEAN_Address - USPS,EDQ Connect Platform - USPS",Linux,,DPV,Data Provider: Melissa,,,,
Alamo Colleges,alamo.edu,TX,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,"AIX, Linux",,DPV,Data Provider: Melissa,,,,
Albany State University,asurams.edu,GA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Albert Einstein College of Medicine,einstein.yu.edu,NY,,,Higher Education,Banner,Linux 64-bit,Monthly,"CLEAN_Address - USPS,CLEAN_Address - CAN",Linux,Canada - Unix,DPV,Data Provider: Melissa,AddressDoctor International,,,
Albion College,albion.edu,MI,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Allan Hancock College,hancockcollege.edu,CA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Allegheny College,allegheny.edu,PA,,,Higher Education,Colleague,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
AllSouth Federal Credit Union,allsouth.org,WA,,ASCEN,Credit Union,Credit Union,Windows 64-bit,Monthly,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Altra Federal Credit Union,altra.org,WA,,ASCEN,Credit Union,Credit Union,Windows 64-bit,Monthly,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,GeoCoder,NCOA,,
Alvin Community College,alvincollege.edu,TX,,,Higher Education,Colleague,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Angelo State University,angelo.edu,TX,,,Higher Education,,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Antelope Valley College,avc.edu,CA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Appalachian State University,appstate.edu,NC,,,Higher Education,Banner,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Arbitration Forums,arbfile.org,FL,,,Services,,Windows 64-bit,Monthly,"CLEAN_Address - USPS,CLEAN_Address - CAN",Windows,Canada - Win,DPV,Data Provider: Melissa,,,,
Arizona Dept of Environ Quality (ADEQ),azdeq.gov,AZ,,,Public Administration,,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Arizona State Parks,azstateparks.com,AZ,,,Public Administration,,Windows 64-bit,Quarterly,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,GeoCoder,,,
Arizona Western College,azwestern.edu,AZ,,,Higher Education,Colleague,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Arkansas State University,astate.edu,AR,,,Higher Education,Banner,Linux 64-bit,Monthly,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,"AddressDoctor International,Demographic",NCOA,,
Arkansas Tech University,atu.edu,AR,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA,,"ASU-Jonesboro = 9,533
ASU-Beeb = 2,015
ASU-Mountain Home = 769
ASU-Newport = 1,270
ASU Mid-South = 621
ASU Three Rivers = 541
Henderson State = 2,819"
AscendoSoft,ascendosoft.com,WA,,ASCEN,Software,,Windows 64-bit,"Monthly,Quarterly","CLEAN_Address - USPS,CLEAN_Address - CAN",Windows,Canada - Win,DPV,Data Provider: Melissa,"GeoCoder,Canada GeoCoding",,,
Ashland University,ashland.edu,OH,,,Higher Education,Colleague,Windows 64-bit,,"CLEAN_Address - USPS,EDQ Connect - DES",Windows,,DPV,Data Provider: Melissa,"AddressDoctor International,RBDI","EDQ Connect DES - NCOA Prepaid,EDQ Connect DES - MCOA Prepaid,EDQ Connect DES – Deceased Append Prepaid,EDQ Connect DES – Date of Birth Append Prepaid",,
Athens State University,athens.edu,AL,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Atlanta Metropolitan State College,atlm.edu,GA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,"NCOA - Prepaid,Phone - Prepaid,Email - Prepaid,MCOA - Prepaid",,
Auburn University Montgomery,aum.edu,AL,,,Higher Education,Banner,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Augusta University,augusta.edu,GA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Austin Peay State University,apsu.edu,TN,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Azusa Pacific University,apu.edu,CA,,,Higher Education,PeopleSoft,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Baldwin Wallace University,bw.edu,OH,,,Higher Education,Colleague,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Ball State University,bsu.edu,IN,,,Higher Education,Banner,"Linux 64-bit,Windows 64-bit",,CLEAN_Address - USPS,"Linux, Windows",,DPV,Data Provider: Melissa,"AddressDoctor International,CLEAN_Entry",,,
Bamboo Health Inc (Old name...Appriss Health LLC ),bamboohealth.com,KY,,,Software,,Linux 64-bit,"Quarterly,Monthly",CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,GeoCoder,,,
Bank-Fund Staff Federal Credit Union,bfsfcu.org,WA,,ASCEN,Credit Union,Credit Union,,Monthly,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Barry University,barry.edu,FL,,,Higher Education,Salesforce,,,"CLEAN_Address - USPS,Salesforce - US & CAN",,,,Data Provider: Melissa,Salesforce US/CAN Transacations,,,
Barton County Community College,bartonccc.edu,KS,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,NCOA - Prepaid,,
Bay Federal Credit Union,bayfed.com,WA,,ASCEN,Credit Union,Credit Union,,,DES,,,,Data Provider: Melissa,,NCOA,,
Baylor University,baylor.edu,TX,,,Higher Education,Banner,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
BDEX,bd-exp.com,FL,,,Software,,"Windows 64-bit,Linux 64-bit",Monthly,CLEAN_Address - USPS,"Linux, Windows",,DPV,Data Provider: Melissa,GeoCoder,,,
BECU,becu.org,WA,,ASCEN,Credit Union,,,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Bellarmine University,bellarmine.edu,KY,,,Higher Education,Colleague,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,NCOA,,
Belmont University,belmont.edu,TN,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Bethel University,bethel.edu,MN,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Biola University,biola.edu,CA,,,Higher Education,Banner,Linux 64-bit,Monthly,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,,,
Blackhawk Technical College,blackhawk.edu,WI,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Bloomsburg University,bloomu.edu,PA,,,Higher Education,Banner,,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,CLEAN_Entry,,,"Bloomsburg U, Lock Haven U, Mansfield U are collectively under Commonwealth, but are to be treated as individual licenses."
"Bluestar, Inc.",bluestarinc.com,KY,,,Software,"E-Business Suite, iStore, EDI",Linux 64-bit,Monthly,"CLEAN_Address - USPS,CLEAN_Address - CAN",Linux,,DPV,Data Provider: Melissa,,,,
BOK Financial Corp,bokfinancial.com,OK,,,Finance & Banking,,Windows 64-bit,Quarterly,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,GeoCoder,,,
Boston University,bu.edu,MA,,,Higher Education,PeopleSoft,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,,,
Bridgewater State University,bridgew.edu,MA,,,Higher Education,Banner,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Bristol Community College,bristolcc.edu,MA,,,Higher Education,Banner,,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Brown University,brown.edu,RI,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Butler Community College,butlercc.edu,KS,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,Reference
California Credit Union,ccu.com,WA,,ASCEN,Credit Union,Credit Union,Windows 64-bit,Monthly,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,NCOA,,
"California State Univ, San Bernardino",csusb.edu,CA,,,Higher Education,Advance,,,DES,,,,,,NCOA - Prepaid,,
Cameron University,cameron.edu,OK,,,Higher Education,Banner,,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA,,
Canandaigua National Bank,cnbank.com,WA,,ASCEN,Credit Union,Credit Union,,Monthly,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,NCOA,,
Case Western Reserve University - Advancement Dept ,case.edu,OH,,,Higher Education,Advance,Windows 64-bit,Quarterly,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,"AddressDoctor International,GeoCoder",,,
Case Western Reserve University - Main Campus,case.edu,OH,,,Higher Education,PeopleSoft,Linux 64-bit,Quarterly,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,"AddressDoctor International,GeoCoder",,,
Casper College,caspercollege.edu,WY,,,Higher Education,Colleague,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Cayuga Community College,cayuga-cc.edu,NY,,,Higher Education,Banner,,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA,,
Centennial College,centennialcollege.ca,ON,Canada,,Higher Education,Banner,Linux 64-bit,Monthly,CLEAN_Address - CAN,"Solaris, Linux",Canada - Unix,NO DPV,Data Provider: Melissa,,,,
Central New Mexico Community College,cnm.edu,NM,,,Higher Education,Banner,,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Central Oregon Community College,cocc.edu,OR,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Central State University,Centralstate.edu,OH,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Chaffey College,chaffey.edu,CA,,,Higher Education,Colleague,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,CLEAN_Entry,,,
Chattanooga State Community College,chattanoogastate.edu,TN,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Chemeketa Community College,chemeketa.edu,OR,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Chicago State University,csu.edu,IL,,,Higher Education,Banner,"Linux 64-bit,Windows 64-bit",,CLEAN_Address - USPS,"Windows, Linux",,DPV,Data Provider: Melissa,,,,
Children's Hospital Los Angeles,chla.org,CA,,,Healthcare,PeopleSoft,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Chippewa Valley Technical College,cvtc.edu,WI,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Choreograph LLC,choreograph.com,NY,,,Communications,,Linux 64-bit,"Monthly,Quarterly","CLEAN_Address - USPS,CLEAN_Address - CAN",Linux,Canada - Unix,DPV,Data Provider: Melissa,"GeoCoder,RBDI,Demographic",,,
Christopher Newport University,cnu.edu,VA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
CIOX Health,cioxhealth.com,GA,,MDATA,Healthcare,,Windows 64-bit,Monthly,"CLEAN_Address - USPS,CLEAN_Address - CAN",Windows,Canada - Win,DPV,Data Provider: Melissa,,,,
City of Boston,boston.gov,MA,,,Public Sector,"PeopleSoft, PeopleSoft DB2",Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
City of Philadelphia,phila.gov,PA,,,Public Sector,,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
City University of New York,cau.edu,NY,,,Higher Education,PeopleSoft,Linux 64-bit,Monthly,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Clark Atlanta University,cau.edu,GA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Clark State College,clarkstate.edu,OH,,,Higher Education,Colleague,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Clear Capital,clearcapital.com,CA,,MDATA,Software,,Linux 64-bit,Quarterly,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,"Demographic,COM License Key from Melissa",,,
Clemson University,clemson.edu,SC,,,Higher Education,"PeopleSoft, Banner",Linux 64-bit,"Monthly,Quarterly",CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,"GeoData,CLEAN_Entry",,,
Cleveland State Community College,clevelandstatecc.edu,TN,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Clovis Community College,cloviscollege.edu,NM,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Coast Community College District,cccd.edu,CA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Cochise College,cochise.edu,AZ,,,Higher Education,Banner,,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Coconino Community College,coconino.edu,AZ,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Colgate University,colgate.edu,NY,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
